traits	binaryGeo
2012_mG250U_UP_1084	coastal
2012_mG050U_UP_1086	coastal
2012_mG050UmG250U_UP_1085	coastal
2012_mG250U_UP_1088	coastal
1989_mG053U_UP_61	coastal
1994_mG001U_UC_92	CRB
1996_mG001U_UC_127	CRB
1973_mG018U_UP_2	CRB
1997_mG001U_UC_143	CRB
2002_mG136U_UP_282	CRB
1991_mG001U_UC_73	CRB
1998_mG001U_UC_169	CRB
1999_mG001U_UC_200	CRB
2003_mG001U_UC_333	CRB
2006_mG001U_UC_505	CRB
1995_mG141U_UC_113	CRB
1987_mG001U_UC_33	CRB
1989_mG001U_UC_54	CRB
1999_mG001U_UC_179	CRB
2000_mG001U_UC_205	CRB
2001_mG001U_UC_221	CRB
2002_mG001U_UC_250	CRB
2003_mG001U_UC_301	CRB
2004_mG001U_UC_343	CRB
2005_mG001U_UC_422	CRB
2006_mG001U_UC_470	CRB
2010_mG001U_UC_630	CRB
1988_mG036U_UC_46	CRB
2006_mG147U_UC_471	CRB
2007_mG151U_UC_519	CRB
2008_mG151U_UC_542	CRB
2009_mG151U_UC_570	CRB
2011_mG151U_UC_749	CRB
2012_mG151U_UC_951	CRB
2013_mG151U_UC_1104	CRB
1987_mG001U_UC_35	CRB
1989_mG001U_UC_55	CRB
1998_mG001U_UC_150	CRB
2001_mG001U_UC_224	CRB
2003_mG001U_UC_303	CRB
2004_mG001U_UC_344	CRB
1998_mG001U/mG297U_UC_153	CRB
2003_mG001UmG286U_UC_302	CRB
2004_mG001UmG294U_UC_345	CRB
2002_mG041U_UC_254	CRB
2009_mG151U_UC_575	CRB
2010_mG151U_UC_631	CRB
2002_mG001U_UC_295	CRB
2008_mG032U_UC_566	CRB
2001_mG001U_UC_247	CRB
2002_mG041U_UC_266	CRB
2009_mG151U_UC_583	CRB
1987_mG001U_UC_39	CRB
1998_mG001U_UC_165	CRB
2001_mG001U_UC_230	CRB
2002_mG001U_UC_274	CRB
2002_mG001U_UC_271	CRB
2003_mG001U_UC_314	CRB
2004_mG001U_UC_368	CRB
2003_mG001UmG287U_UC_316	CRB
1998_mG037U_UC_163	CRB
2009_mG151U_UC_592	CRB
2010_mG151U_UC_662	CRB
2010_mG151U_UC_663	CRB
2011_mG151U_UC_847	CRB
2004_mG001U_UC_392	CRB
2008_mG151U_UC_552	CRB
2010_mG151U_UC_718	CRB
2011_mG151U_UC_888	CRB
2012_mG151U_UC_1078	CRB
2001_mG193U_UC_236	CRB
2009_mG202U_UC_609	CRB
1986_mG001U_UC_30	CRB
1997_mG001U_UC_144	CRB
2000_mG001U_UC_217	CRB
2001_mG001U_UC_238	CRB
2002_mG001U_UC_284	CRB
2003_mG001U_UC_327	CRB
2003_mG001U_UC_328	CRB
2004_mG001U_UC_397	CRB
2004_mG001U_UC_402	CRB
2004_mG001U_UC_399	CRB
2005_mG001U_UC_459	CRB
2008_mG001U_UC_555	CRB
2013_mG174U_UC_1196	CRB
2006_mG195U_UC_501	CRB
2011_mG151U_UC_898	CRB
2013_mG151U_UC_1199	CRB
1999_mG001U_UC_198	CRB
2001_mG001U_UC_242	CRB
2002_mG001U_UC_290	CRB
2003_mG001U_UC_332	CRB
2008_mG147U_UC_563	CRB
2009_mG151U_UC_613	CRB
2005_mG195U_UC_464	CRB
2001_mG001U_UC_243	CRB
2002_mG001U_UC_291	CRB
2003_mG001U_UC_335	CRB
2004_mG001U_UC_409	CRB
1998_mG037U_UC_171	CRB
2009_mG151U_UC_614	CRB
2010_mG151U_UC_728	CRB
2001_mG001U_UC_248	CRB
2001_mG001U_UC_244	CRB
2002_mG001U_UC_293	CRB
2003_mG001U_UC_336	CRB
2004_mG001U_UC_413	CRB
2009_mG151U_UC_619	CRB
2002_mG001U_UC_264	CRB
2009_mG151U_UC_581	CRB
2010_mG151U_UC_652	CRB
2011_mG151U_UC_779	CRB
2013_mG151U_UC_1146	CRB
2004_mG001U_UC_361	CRB
1984_mG003U_UP_23	CRB
1981_mG028U_UP_16	CRB
1988_mG050U_UP_47	CRB
2006_mG151U_UC_479	CRB
1985_mG001U_UC_26	CRB
1988_mG001U_UC_48	CRB
1997_mG001U_UC_142	CRB
1982_mG030U_UP_19	CRB
2004_mG150U_UC_367	CRB
2009_mG151U_UC_590	CRB
2011_mG151U_UC_839	CRB
2011_mG151U_UC_842	CRB
2011_mG151U_UC_824	CRB
2009_mG151U_UC_627	CRB
2010_mG151U_UC_738	CRB
1987_mG002U_UP_41	CRB
1989_mG001U_UC_63	CRB
1987_mG001U_UC_45	CRB
1997_mG001U_UC_147	CRB
2004_mG001U_UC_414	CRB
1988_mG028U_UP_52	CRB
2009_mG151U_UC_617	CRB
2010_mG151U_UC_734	CRB
2003_mG001U_UC_341	CRB
2006_mG147U_UC_511	CRB
2004_mG150U_UC_421	CRB
2011_mG174U_UC_911	CRB
2013_mG147U_UC_1119	CRB
2011_mG174U_UC_755	CRB
2013_mG174U_UC_1113	CRB
2013_mG174UmG280U_UC_1115	CRB
2006_mG001U_UC_473	CRB
2004_mG150U_UC_348	CRB
1997_mG001U_UC_136	CRB
2003_mG001U_UC_305	CRB
2004_mG001U_UC_350	CRB
2012_mG050U_UP_970	CRB
2012_mG147U_UC_967	CRB
2013_mG147U_UC_1123	CRB
2009_mG151U_UC_577	CRB
2005_mG174U_UC_423	CRB
2006_mG174U_UC_474	CRB
2010_mG174U_UC_637	CRB
2011_mG174U_UC_768	CRB
2012_mG174U_UC_971	CRB
2013_mG174U_UC_1127	CRB
2013_mG174U_UC_1131	CRB
2010_mG174UmG258U_UC_640	CRB
2013_mG174UmG283U_UC_1126	CRB
2011_mG242U_UC_772	CRB
1995_mG001U_UC_107	CRB
2008_mG151U_UC_543	CRB
2011_mG153U_UC_817	CRB
2007_mG174U_UC_520	CRB
2011_mG174U_UC_819	CRB
2011_mG174UmG242U_UC_791	CRB
2011_mG242U_UC_790	CRB
1997_mG288U_UC_140	CRB
1999_mG001U_UC_191	CRB
2004_mG001U_UC_365	CRB
2005_mG147U_UC_431	CRB
2008_mG147U_UC_544	CRB
2013_mG147U_UC_1150	CRB
2009_mG174U_UC_588	CRB
2012_mG174U_UC_1041	CRB
2002_mG230U_UC_267	CRB
2007_mG237U_UC_523	CRB
2003_mG001U_UC_326	CRB
2004_mG001U_UC_391	CRB
2005_mG001U_UC_454	CRB
2006_mG147U_UC_490	CRB
2013_mG147U_UC_1159	CRB
2007_mG151U_UC_534	CRB
2009_mG151U_UC_602	CRB
2009_mG151U_UC_605	CRB
2011_mG159U_UP_865	CRB
2005_mG174U_UC_453	CRB
2006_mG174U_UC_499	CRB
2006_mG174U_UC_489	CRB
2006_mG174U_UC_498	CRB
2009_mG174U_UC_607	CRB
2010_mG174U_UC_671	CRB
2010_mG174U_UC_711	CRB
2010_mG174U_UC_715	CRB
2011_mG174U_UC_855	CRB
2011_mG174U_UC_872	CRB
2012_mG174U_UC_1070	CRB
2012_mG174U_UC_1062	CRB
2012_mG174U_UC_1069	CRB
2013_mG174U_UC_1165	CRB
2013_mG174U_UC_1166	CRB
2010_mG174UmG252U_UC_714	CRB
2011_mG174UmG253U_UC_862	CRB
2011_mG174UmG254U_UC_864	CRB
2009_mG174UmG257U_UC_606	CRB
2010_mG174UmG259U_UC_682	CRB
2007_mG177U_UC_533	CRB
2011_mG242U_UC_877	CRB
2012_mG242U_UC_1065	CRB
2011_mG256U_UC_882	CRB
2013_mG263U_UC_1158	CRB
2013_mG264U_UC_1164	CRB
1994_mG001U_UC_96	CRB
2006_mG147U_UC_500	CRB
2004_mG149U_UC_395	CRB
2011_mG174U_UC_893	CRB
2013_mG174U_UC_1193	CRB
1988_mG199U_UC_53	coastal
2013_mG174U_UC_1202	coastal
1999_mG001U_UC_188	coastal
1996_mG001U_UC_125	coastal
2000_mG001U_UC_210	coastal
1989_mG035U_UP_58	coastal
1999_mG135U_UC_197	coastal
2002_mG001U_UC_278	CRB
2006_mG001U_UC_485	CRB
2005_mG151U_UC_457	CRB
2005_mG151U_UC_456	CRB
1993_mG001U_UC_83	CRB
1994_mG001U_UC_99	CRB
2004_mG001U_UC_396	CRB
2010_mG151U_UC_721	CRB
2011_mG174U_UC_894	CRB
2013_mG174U_UC_1195	CRB
2013_mG279U_UC_1194	CRB
2002_mG001U_UC_287	CRB
2002_mG001U_UC_286	CRB
2006_mG153U_UC_503	CRB
2011_mG174U_UC_897	CRB
2011_mG174U_UC_914	CRB
2011_mG245U_UC_915	CRB
1996_mG001U_UC_130	CRB
2001_mG001U_UC_233	CRB
2002_mG001U_UC_276	CRB
2003_mG001U_UC_320	CRB
2003_mG001U_UC_319	CRB
2009_mG147U_UC_600	CRB
2005_mG174U_UC_450	CRB
2005_mG174U_UC_449	CRB
2007_mG174U_UC_532	CRB
2007_mG174U_UC_531	CRB
2013_mG174U_UC_1157	CRB
1987_mG029U_UP_44	CRB
2003_mG001U_UC_339	CRB
2004_mG001U_UC_363	CRB
2005_mG001U_UC_429	CRB
2006_mG001U_UC_509	CRB
1998_mG001U_UC_172	CRB
1998_mG001U_UC_162	CRB
1996_mG001U_UC_129	CRB
1999_mG001U_UC_193	CRB
2001_mG001U_UC_232	CRB
2004_mG001U_UC_385	CRB
2004_mG001U_UC_374	CRB
2005_mG001U_UC_433	CRB
2005_mG001U_UC_440	CRB
2008_mG001U_UC_547	CRB
2009_mG001U_UC_598	CRB
2010_mG001U_UC_666	CRB
2007_mG032U_UC_529	CRB
1995_mG034U_UC_110	CRB
2006_mG147U_UC_481	CRB
2008_mG147U_UC_548	CRB
2011_mG147U_UC_849	CRB
2011_mG147U_UC_851	CRB
2012_mG147U_UC_1051	CRB
2012_mG147U_UC_1052	CRB
2013_mG147U_UC_1153	CRB
2013_mG147U_UC_1154	CRB
2009_mG151U_UC_599	CRB
2012_mG151U_UC_1054	CRB
2010_mG174U_UC_667	CRB
2011_mG174U_UC_852	CRB
2012_mG174U_UC_1055	CRB
2007_mG198U_UC_528	CRB
2010_mG203U_UC_670	CRB
2010_mG203U_UC_669	CRB
2012_mG242U_UC_1056	CRB
2012_mG242U_UC_1058	CRB
2013_mG242U_UC_1156	CRB
2012_mG314U_UC_1050	CRB
2004_mG001U_UC_417	CRB
1987_mG001U_UC_37	CRB
1987_mG001U_UC_36	CRB
2007_mG032U_UC_539	CRB
2000_mG001U_UC_208	CRB
2003_mG001U_UC_310	CRB
2003_mG001U_UC_311	CRB
2009_mG179U_UP_629	coastal
2012_mG265U_UP_1092	coastal
1996_mG025U_UP_120	coastal
2000_mG003U_UP_211	coastal
1990_mG026U_UP_64	coastal
2002_mG002U_UP_265	coastal
1997_mG003U_UP_139	coastal
1990_mG019U_UP_65	coastal
2009_mG050U_UP_628	coastal
2012_mG265U_UP_1080	coastal
1990_mG002U_UP_67	coastal
2003_mG184U_UP_296	coastal
1990_mG019U_UP_66	coastal
1989_mG053U_UP_62	coastal
2002_mG001U_UC_294	CRB
2001_mG001U_UC_225	CRB
2004_mG001U_UC_362	CRB
2010_mG050U_UP_660	CRB
2001_mG001U_UC_246	CRB
2004_mG001U_UC_415	CRB
2010_mG151U_UC_737	CRB
2009_mG185U_UC_618	CRB
2011_mG249U_UP_905	CRB
2001_mG001U_UC_227	CRB
2003_mG001U_UC_306	CRB
2004_mG001U_UC_351	CRB
2006_mG174U_UC_475	CRB
2012_mG174U_UC_1075	CRB
2000_mG002U_UP_212	coastal
2004_mG002U_UP_364	coastal
1990_mG028U_UP_69	coastal
1998_mG001U_UC_170	CRB
1999_mG001U_UC_201	CRB
2004_mG001U_UC_408	CRB
2009_mG001U_UC_571	CRB
1991_mG032U_UC_71	CRB
1993_mG032U_UC_82	CRB
1995_mG032U_UC_108	CRB
2000_mG032U_UC_214	CRB
2001_mG032U_UC_229	CRB
1992_mG033U_UC_77	CRB
2003_mG194U_UC_312	CRB
2006_mG196U_UC_480	CRB
