traits	species
2012_mG250U_UP_1084	nondom
2012_mG050U_UP_1086	nondom
2012_mG050UmG250U_UP_1085	nondom
2012_mG250U_UP_1088	nondom
1989_mG053U_UP_61	chin
1994_mG001U_UC_92	chin
1996_mG001U_UC_127	chin
1973_mG018U_UP_2	chin
1997_mG001U_UC_143	chin
2002_mG136U_UP_282	chin
1991_mG001U_UC_73	chin
1998_mG001U_UC_169	chin
1999_mG001U_UC_200	chin
2003_mG001U_UC_333	chin
2006_mG001U_UC_505	chin
1995_mG141U_UC_113	chin
1987_mG001U_UC_33	chin
1989_mG001U_UC_54	chin
1999_mG001U_UC_179	chin
2000_mG001U_UC_205	chin
2001_mG001U_UC_221	chin
2002_mG001U_UC_250	chin
2003_mG001U_UC_301	chin
2004_mG001U_UC_343	chin
2005_mG001U_UC_422	chin
2006_mG001U_UC_470	chin
2010_mG001U_UC_630	chin
1988_mG036U_UC_46	chin
2006_mG147U_UC_471	chin
2007_mG151U_UC_519	chin
2008_mG151U_UC_542	chin
2009_mG151U_UC_570	chin
2011_mG151U_UC_749	chin
2012_mG151U_UC_951	chin
2013_mG151U_UC_1104	chin
1987_mG001U_UC_35	chin
1989_mG001U_UC_55	chin
1998_mG001U_UC_150	chin
2001_mG001U_UC_224	chin
2003_mG001U_UC_303	chin
2004_mG001U_UC_344	chin
1998_mG001U/mG297U_UC_153	chin
2003_mG001UmG286U_UC_302	chin
2004_mG001UmG294U_UC_345	chin
2002_mG041U_UC_254	chin
2009_mG151U_UC_575	chin
2010_mG151U_UC_631	chin
2002_mG001U_UC_295	chin
2008_mG032U_UC_566	chin
2001_mG001U_UC_247	chin
2002_mG041U_UC_266	chin
2009_mG151U_UC_583	chin
1987_mG001U_UC_39	chin
1998_mG001U_UC_165	chin
2001_mG001U_UC_230	chin
2002_mG001U_UC_274	chin
2002_mG001U_UC_271	chin
2003_mG001U_UC_314	chin
2004_mG001U_UC_368	chin
2003_mG001UmG287U_UC_316	chin
1998_mG037U_UC_163	chin
2009_mG151U_UC_592	chin
2010_mG151U_UC_662	chin
2010_mG151U_UC_663	chin
2011_mG151U_UC_847	chin
2004_mG001U_UC_392	chin
2008_mG151U_UC_552	chin
2010_mG151U_UC_718	chin
2011_mG151U_UC_888	chin
2012_mG151U_UC_1078	chin
2001_mG193U_UC_236	chin
2009_mG202U_UC_609	chin
1986_mG001U_UC_30	chin
1997_mG001U_UC_144	chin
2000_mG001U_UC_217	chin
2001_mG001U_UC_238	chin
2002_mG001U_UC_284	chin
2003_mG001U_UC_327	chin
2003_mG001U_UC_328	chin
2004_mG001U_UC_397	chin
2004_mG001U_UC_402	chin
2004_mG001U_UC_399	chin
2005_mG001U_UC_459	chin
2008_mG001U_UC_555	chin
2013_mG174U_UC_1196	chin
2006_mG195U_UC_501	chin
2011_mG151U_UC_898	chin
2013_mG151U_UC_1199	chin
1999_mG001U_UC_198	chin
2001_mG001U_UC_242	chin
2002_mG001U_UC_290	chin
2003_mG001U_UC_332	chin
2008_mG147U_UC_563	chin
2009_mG151U_UC_613	chin
2005_mG195U_UC_464	chin
2001_mG001U_UC_243	chin
2002_mG001U_UC_291	chin
2003_mG001U_UC_335	chin
2004_mG001U_UC_409	chin
1998_mG037U_UC_171	chin
2009_mG151U_UC_614	chin
2010_mG151U_UC_728	chin
2001_mG001U_UC_248	chin
2001_mG001U_UC_244	chin
2002_mG001U_UC_293	chin
2003_mG001U_UC_336	chin
2004_mG001U_UC_413	chin
2009_mG151U_UC_619	chin
2002_mG001U_UC_264	chin
2009_mG151U_UC_581	chin
2010_mG151U_UC_652	chin
2011_mG151U_UC_779	chin
2013_mG151U_UC_1146	chin
2004_mG001U_UC_361	chin
1984_mG003U_UP_23	chin
1981_mG028U_UP_16	chin
1988_mG050U_UP_47	chin
2006_mG151U_UC_479	chin
1985_mG001U_UC_26	chin
1988_mG001U_UC_48	chin
1997_mG001U_UC_142	chin
1982_mG030U_UP_19	chin
2004_mG150U_UC_367	chin
2009_mG151U_UC_590	chin
2011_mG151U_UC_839	chin
2011_mG151U_UC_842	chin
2011_mG151U_UC_824	chin
2009_mG151U_UC_627	chin
2010_mG151U_UC_738	chin
1987_mG002U_UP_41	chin
1989_mG001U_UC_63	chin
1987_mG001U_UC_45	chin
1997_mG001U_UC_147	chin
2004_mG001U_UC_414	chin
1988_mG028U_UP_52	chin
2009_mG151U_UC_617	chin
2010_mG151U_UC_734	chin
2003_mG001U_UC_341	chin
2006_mG147U_UC_511	chin
2004_mG150U_UC_421	chin
2011_mG174U_UC_911	chin
2013_mG147U_UC_1119	chin
2011_mG174U_UC_755	chin
2013_mG174U_UC_1113	chin
2013_mG174UmG280U_UC_1115	chin
2006_mG001U_UC_473	chin
2004_mG150U_UC_348	chin
1997_mG001U_UC_136	chin
2003_mG001U_UC_305	chin
2004_mG001U_UC_350	chin
2012_mG050U_UP_970	chin
2012_mG147U_UC_967	chin
2013_mG147U_UC_1123	chin
2009_mG151U_UC_577	chin
2005_mG174U_UC_423	chin
2006_mG174U_UC_474	chin
2010_mG174U_UC_637	chin
2011_mG174U_UC_768	chin
2012_mG174U_UC_971	chin
2013_mG174U_UC_1127	chin
2013_mG174U_UC_1131	chin
2010_mG174UmG258U_UC_640	chin
2013_mG174UmG283U_UC_1126	chin
2011_mG242U_UC_772	chin
1995_mG001U_UC_107	chin
2008_mG151U_UC_543	chin
2011_mG153U_UC_817	chin
2007_mG174U_UC_520	chin
2011_mG174U_UC_819	chin
2011_mG174UmG242U_UC_791	chin
2011_mG242U_UC_790	chin
1997_mG288U_UC_140	chin
1999_mG001U_UC_191	chin
2004_mG001U_UC_365	chin
2005_mG147U_UC_431	chin
2008_mG147U_UC_544	chin
2013_mG147U_UC_1150	chin
2009_mG174U_UC_588	chin
2012_mG174U_UC_1041	chin
2002_mG230U_UC_267	chin
2007_mG237U_UC_523	chin
2003_mG001U_UC_326	chin
2004_mG001U_UC_391	chin
2005_mG001U_UC_454	chin
2006_mG147U_UC_490	chin
2013_mG147U_UC_1159	chin
2007_mG151U_UC_534	chin
2009_mG151U_UC_602	chin
2009_mG151U_UC_605	chin
2011_mG159U_UP_865	chin
2005_mG174U_UC_453	chin
2006_mG174U_UC_499	chin
2006_mG174U_UC_489	chin
2006_mG174U_UC_498	chin
2009_mG174U_UC_607	chin
2010_mG174U_UC_671	chin
2010_mG174U_UC_711	chin
2010_mG174U_UC_715	chin
2011_mG174U_UC_855	chin
2011_mG174U_UC_872	chin
2012_mG174U_UC_1070	chin
2012_mG174U_UC_1062	chin
2012_mG174U_UC_1069	chin
2013_mG174U_UC_1165	chin
2013_mG174U_UC_1166	chin
2010_mG174UmG252U_UC_714	chin
2011_mG174UmG253U_UC_862	chin
2011_mG174UmG254U_UC_864	chin
2009_mG174UmG257U_UC_606	chin
2010_mG174UmG259U_UC_682	chin
2007_mG177U_UC_533	chin
2011_mG242U_UC_877	chin
2012_mG242U_UC_1065	chin
2011_mG256U_UC_882	chin
2013_mG263U_UC_1158	chin
2013_mG264U_UC_1164	chin
1994_mG001U_UC_96	chin
2006_mG147U_UC_500	chin
2004_mG149U_UC_395	chin
2011_mG174U_UC_893	chin
2013_mG174U_UC_1193	chin
1988_mG199U_UC_53	chin
2013_mG174U_UC_1202	chin
1999_mG001U_UC_188	chin
1996_mG001U_UC_125	chin
2000_mG001U_UC_210	chin
1989_mG035U_UP_58	chin
1999_mG135U_UC_197	chin
2002_mG001U_UC_278	chin
2006_mG001U_UC_485	chin
2005_mG151U_UC_457	chin
2005_mG151U_UC_456	chin
1993_mG001U_UC_83	chin
1994_mG001U_UC_99	chin
2004_mG001U_UC_396	chin
2010_mG151U_UC_721	chin
2011_mG174U_UC_894	chin
2013_mG174U_UC_1195	chin
2013_mG279U_UC_1194	chin
2002_mG001U_UC_287	chin
2002_mG001U_UC_286	chin
2006_mG153U_UC_503	chin
2011_mG174U_UC_897	chin
2011_mG174U_UC_914	chin
2011_mG245U_UC_915	chin
1996_mG001U_UC_130	chin
