taxon	range
1989_mG001U_UC_57	CRB
2007_mG177U_UC_533	CRB
2007_mG198U_UC_528	CRB
2007_mG174U_UC_520	CRB
2007_mG237U_UC_523	CRB
2007_mG151U_UC_519	CRB
2006_mG174U_UC_475	CRB
2003_mG194U_UC_312	CRB
2003_mG001U_UC_329	CRB
2003_mG001U_UC_340	CRB
2003_mG001U_UC_323	CRB
2003_mG150U_UC_309	CRB
2003_mG001U_UC_322	CRB
1975_mG057U_UC_6	CRB
1999_mG001U_UC_186	CRB
1999_mG001U_UC_187	CRB
1999_mG001U_UC_195	CRB
1999_mG033U_UC_196	CRB
1999_mG289U_UC_184	CRB
2006_mG147U_UC_511	CRB
2006_mG001U_UC_485	CRB
2006_mG151U_UC_479	CRB
2006_mG001U_UC_473	CRB
2006_mG001U_UC_505	CRB
1989_mG001U_UC_59	CRB
1987_mG001U_UC_38	CRB
1987_mG001U_UC_42	CRB
2007_mG032U_UC_515	coastal
2007_mG147U_UC_516	coastal
2007_mG147U_UC_541	coastal
1993_mG032U_UC_82	CRB
2001_mG001U_UC_225	CRB
2001_mG001U_UC_227	CRB
2001_mG001U_UC_246	CRB
2010_mG151U_UC_737	CRB
2009_mG001U_UC_571	CRB
2009_mG032U_UC_610	CRB
2009_mG001U_UC_601	CRB
2009_mG032U_UC_611	CRB
2009_mG151U_UC_578	CRB
1991_mG032U_UC_76	coastal
2009_mG185U_UC_618	CRB
1988_mG001U_UC_48	CRB
1988_mG036U_UC_46	CRB
1995_mG032U_UC_108	CRB
1997_mG001U_UC_138	CRB
1997_mG001U_UC_145	CRB
1997_mG032U_UC_146	CRB
2003_mG001U_UC_314	CRB
2003_mG001UmG286U_UC_302	CRB
2003_mG001U_UC_305	CRB
2003_mG001U_UC_320	CRB
2003_mG001U_UC_301	CRB
2004_mG150U_UC_357	CRB
2004_mG001U_UC_404	CRB
2004_mG001U_UC_410	CRB
2004_mG001U_UC_356	CRB
2004_mG001U_UC_394	CRB
1987_mG001U_UC_39	CRB
1987_mG001U_UC_35	CRB
1987_mG001U_UC_37	CRB
1987_mG001U_UC_33	CRB
2013_mG174U_UC_1202	coastal
2000_mG001U_UC_208	CRB
2012_mG314U_UC_1050	CRB
2012_mG242U_UC_1056	CRB
2012_mG174U_UC_971	CRB
2012_mG242U_UC_1058	CRB
2012_mG151U_UC_1078	CRB
2000_mG001U_UC_210	coastal
1998_mG001U_UC_162	CRB
1998_mG001U/mG297U_UC_153	CRB
1998_mG001U_UC_172	CRB
1998_mG037U_UC_163	CRB
1998_mG037U_UC_171	CRB
1995_mG001UHH_UC_104	CRB
1995_mG001U_UC_105	CRB
1995_mG001U_UC_111	CRB
1995_mG001U_UC_115	CRB
2010_mG174U_UC_741	CRB
1991_mG032U_UC_71	CRB
2004_mG001U_UC_351	CRB
2004_mG001U_UC_362	CRB
2004_mG001U_UC_415	CRB
2006_mG032U_UC_486	CRB
2006_mG196U_UC_480	CRB
2003_mG001U_UC_306	CRB
2003_mG001U_UC_310	CRB
2003_mG001U_UC_311	CRB
2002_mG001U_UC_264	CRB
2002_mG001U_UC_271	CRB
2002_mG001U_UC_293	CRB
2002_mG001U_UC_276	CRB
2002_mG001U_UC_295	CRB
1993_mG001U_UC_83	CRB
2003_mG001U_UC_338	coastal
1981_mG001U_UC_17	CRB
2011_mG151U_UC_907	CRB
2011_mG174U_UC_853	CRB
2011_mG232U_UC_854	CRB
2011_mG174U_UC_902	CRB
2007_mG174U_UC_527	CRB
2007_mG032U_UC_525	CRB
2007_mG151U_UC_535	CRB
2007_mG147U_UC_536	CRB
2007_mG032U_UC_537	CRB
