taxon	host
1989_mG001U_UC_57	nerka
2007_mG177U_UC_533	chin
2007_mG198U_UC_528	chin
2007_mG174U_UC_520	chin
2007_mG237U_UC_523	chin
2007_mG151U_UC_519	chin
2006_mG174U_UC_475	nondom
2003_mG194U_UC_312	nerka
2003_mG001U_UC_329	mykiss
2003_mG001U_UC_340	mykiss
2003_mG001U_UC_323	mykiss
2003_mG150U_UC_309	mykiss
2003_mG001U_UC_322	mykiss
1975_mG057U_UC_6	nerka
1999_mG001U_UC_186	mykiss
1999_mG001U_UC_187	mykiss
1999_mG001U_UC_195	mykiss
1999_mG033U_UC_196	mykiss
1999_mG289U_UC_184	mykiss
2006_mG147U_UC_511	chin
2006_mG001U_UC_485	chin
2006_mG151U_UC_479	chin
2006_mG001U_UC_473	chin
2006_mG001U_UC_505	chin
1989_mG001U_UC_59	mykiss
1987_mG001U_UC_38	mykiss
1987_mG001U_UC_42	mykiss
2007_mG032U_UC_515	mykiss
2007_mG147U_UC_516	mykiss
2007_mG147U_UC_541	mykiss
1993_mG032U_UC_82	nerka
2001_mG001U_UC_225	nondom
2001_mG001U_UC_227	nondom
2001_mG001U_UC_246	nondom
2010_mG151U_UC_737	nondom
2009_mG001U_UC_571	nerka
2009_mG032U_UC_610	mykiss
2009_mG001U_UC_601	mykiss
2009_mG032U_UC_611	mykiss
2009_mG151U_UC_578	mykiss
1991_mG032U_UC_76	mykiss
2009_mG185U_UC_618	nondom
1988_mG001U_UC_48	chin
1988_mG036U_UC_46	chin
1995_mG032U_UC_108	nerka
1997_mG001U_UC_138	mykiss
1997_mG001U_UC_145	mykiss
1997_mG032U_UC_146	mykiss
2003_mG001U_UC_314	chin
2003_mG001UmG286U_UC_302	chin
2003_mG001U_UC_305	chin
2003_mG001U_UC_320	chin
2003_mG001U_UC_301	chin
2004_mG150U_UC_357	mykiss
2004_mG001U_UC_404	mykiss
2004_mG001U_UC_410	mykiss
2004_mG001U_UC_356	mykiss
2004_mG001U_UC_394	mykiss
1987_mG001U_UC_39	chin
1987_mG001U_UC_35	chin
1987_mG001U_UC_37	chin
1987_mG001U_UC_33	chin
2013_mG174U_UC_1202	chin
2000_mG001U_UC_208	nondom
2012_mG314U_UC_1050	chin
2012_mG242U_UC_1056	chin
2012_mG174U_UC_971	chin
2012_mG242U_UC_1058	chin
2012_mG151U_UC_1078	chin
2000_mG001U_UC_210	chin
1998_mG001U_UC_162	chin
1998_mG001U/mG297U_UC_153	chin
1998_mG001U_UC_172	chin
1998_mG037U_UC_163	chin
1998_mG037U_UC_171	chin
1995_mG001UHH_UC_104	mykiss
1995_mG001U_UC_105	mykiss
1995_mG001U_UC_111	mykiss
1995_mG001U_UC_115	mykiss
2010_mG174U_UC_741	nerka
1991_mG032U_UC_71	nerka
2004_mG001U_UC_351	nondom
2004_mG001U_UC_362	nondom
2004_mG001U_UC_415	nondom
2006_mG032U_UC_486	nerka
2006_mG196U_UC_480	nerka
2003_mG001U_UC_306	nondom
2003_mG001U_UC_310	nondom
2003_mG001U_UC_311	nondom
2002_mG001U_UC_264	chin
2002_mG001U_UC_271	chin
2002_mG001U_UC_293	chin
2002_mG001U_UC_276	chin
2002_mG001U_UC_295	chin
1993_mG001U_UC_83	chin
2003_mG001U_UC_338	mykiss
1981_mG001U_UC_17	nerka
2011_mG151U_UC_907	mykiss
2011_mG174U_UC_853	mykiss
2011_mG232U_UC_854	mykiss
2011_mG174U_UC_902	mykiss
2007_mG174U_UC_527	mykiss
2007_mG032U_UC_525	mykiss
2007_mG151U_UC_535	mykiss
2007_mG147U_UC_536	mykiss
2007_mG032U_UC_537	mykiss
1986_mG001U_UC_30	chin
2005_mG244U_UC_426	mykiss
2005_mG001U_UC_466	mykiss
2005_mG001U_UC_461	mykiss
2005_mG001U_UC_465	mykiss
2005_mG001U_UC_460	mykiss
2001_mG193U_UC_236	chin
2001_mG001U_UC_247	chin
2001_mG001U_UC_248	chin
2001_mG001U_UC_244	chin
2001_mG001U_UC_238	chin
1988_mG032U_UC_49	nerka
1992_mG033U_UC_77	nerka
1985_mG001U_UC_26	chin
2000_mG001U_UC_205	chin
2000_mG001U_UC_217	chin
1998_mG001U_UC_170	nerka
2002_mG001U_UC_251	nerka
