taxon	range
1984_mG003U_UP_23	CRB
2012_mG265U_UP_1092	coastal
2012_mG265U_UP_1080	coastal
2012_mG250U_UP_1088	coastal
2012_mG050UmG250U_UP_1085	coastal
2012_mG050U_UP_1086	coastal
1995_mG002U_UP_103	coastal
1995_mG017U_UP_114	coastal
2003_mG184U_UP_296	coastal
1990_mG051U_UP_68	coastal
1986_mG003U_UP_31	coastal
1986_mG054U_UP_32	coastal
2004_mG002U_UP_347	coastal
2004_mG268U_UP_342	coastal
2010_mG050U_UP_660	CRB
1981_mG003U_UP_15	coastal
2009_mG050U_UP_580	CRB
2012_mG050UmG270U_UP_949	coastal
2012_mG050U_UP_952	coastal
2012_mG050U_UP_1040	coastal
2012_mG050U_UP_928	coastal
2012_mG285U_UP_1039	coastal
2006_mG148U_UP_472	coastal
2006_mG184U_UP_468	coastal
2006_mG269U_UP_469	coastal
1988_mG028U_UP_52	CRB
1988_mG050U_UP_47	CRB
1983_mG045U_UP_21	coastal
1988_mG051U_UP_50	coastal
1992_mG002U_UP_78	coastal
1987_mG002U_UP_41	CRB
2000_mG002U_UP_212	coastal
2000_mG003U_UP_211	coastal
1989_mG035U_UP_58	coastal
1989_mG053U_UP_61	coastal
1993_mG019U_UP_84	coastal
2010_mG050U_UP_653	CRB
2013_mG274U_UP_1093	CRB
2013_mG274U_UP_1094	CRB
2006_mG197U_UP_506	CRB
1997_mG003U_UP_139	coastal
2011_mG050U_UP_903	CRB
1999_mG002U_UP_175	coastal
1999_mG002U_UP_176	coastal
1999_mG002U_UP_177	coastal
2004_mG002U_UP_366	coastal
1982_mG003U_UP_18	CRB
2000_mG002U_UP_203	coastal
2000_mG002U_UP_204	coastal
2000_mG002U_UP_206	coastal
2000_mG002U_UP_213	coastal
2011_mG249U_UP_905	CRB
2009_mG050U_UP_628	coastal
2009_mG179U_UP_629	coastal
1973_mG018U_UP_2	CRB
2004_mG002U_UP_364	coastal
1996_mG003U_UP_117	coastal
1996_mG027U_UP_126	coastal
1996_mG003U_UP_118	coastal
1996_mG027U_UP_116	coastal
1996_mG017U_UP_133	coastal
1994_mG002U_UP_102	coastal
1994_mG002U_UP_86	coastal
1994_mG002U_UP_88	coastal
1994_mG002U_UP_91	coastal
1994_mG043U_UP_87	coastal
2003_mG002U_UP_297	coastal
2003_mG095U_UP_304	coastal
2003_mG184U_UP_298	coastal
2003_mG282U_UP_299	coastal
2001_mG127U_UP_228	CRB
1980_mG035U_UP_13	coastal
2011_mG002U_UP_820	coastal
2011_mG050U_UP_822	coastal
1992_mG019U_UP_81	coastal
2013_mG277U_UP_1106	coastal
2013_mG265U_UP_1200	coastal
2013_mG265U_UP_1098	coastal
2013_mG271U_UP_1110	coastal
2013_mG050U_UP_1103	coastal
1977_mG003U_UP_12	coastal
2010_mG050U_UP_730	coastal
2010_mG050U_UP_634	coastal
2010_mG050U_UP_656	coastal
2010_mG050U_UP_654	coastal
2010_mG002U_UP_729	coastal
1982_mG003U_UP_20	coastal
1988_mG003U_UP_51	coastal
2012_mG002U_UP_1046	coastal
2012_mG050U_UP_1047	coastal
2012_mG050U_UP_1079	coastal
2011_mG050U_UP_748	coastal
2011_mG050U_UP_754	coastal
2011_mG050U_UP_901	coastal
2011_mG050U_UP_782	coastal
2011_mG050U_UP_899	coastal
2002_mG281U_UP_249	coastal
2007_mG284U_UP_518	coastal
1989_mG053U_UP_62	coastal
1984_mG002U_UP_24	CRB
1981_mG028U_UP_16	CRB
1982_mG030U_UP_19	CRB
1998_mG002U_UP_149	coastal
1998_mG025U_UP_148	coastal
2009_mG050U_UP_576	coastal
2009_mG184U_UP_567	coastal
2004_mG040U_UP_360	CRB
1971_mG018U_UP_1	CRB
2002_mG002U_UP_265	coastal
2012_mG271UHH_UP_923	CRB
2012_mG271U_UP_924	CRB
1984_mG003U_UP_22	coastal
1984_mG028U_UP_25	coastal
1990_mG002U_UP_67	coastal
1990_mG019U_UP_65	coastal
1990_mG019U_UP_66	coastal
1990_mG026U_UP_64	coastal
1990_mG028U_UP_69	coastal
1996_mG025U_UP_120	coastal
1997_mG023U_UP_135	coastal
1997_mG055U_UP_134	coastal
