taxon	host
1984_mG003U_UP_23	chin
2012_mG265U_UP_1092	nondom
2012_mG265U_UP_1080	nondom
2012_mG250U_UP_1088	nondom
2012_mG050UmG250U_UP_1085	nondom
2012_mG050U_UP_1086	nondom
1995_mG002U_UP_103	nerka
1995_mG017U_UP_114	nerka
2003_mG184U_UP_296	nondom
1990_mG051U_UP_68	nerka
1986_mG003U_UP_31	nerka
1986_mG054U_UP_32	nerka
2004_mG002U_UP_347	nerka
2004_mG268U_UP_342	nerka
2010_mG050U_UP_660	nondom
1981_mG003U_UP_15	nerka
2009_mG050U_UP_580	mykiss
2012_mG050UmG270U_UP_949	nerka
2012_mG050U_UP_952	nerka
2012_mG050U_UP_1040	nerka
2012_mG050U_UP_928	nerka
2012_mG285U_UP_1039	nerka
2006_mG148U_UP_472	nerka
2006_mG184U_UP_468	nerka
2006_mG269U_UP_469	nerka
1988_mG028U_UP_52	chin
1988_mG050U_UP_47	chin
1983_mG045U_UP_21	nerka
1988_mG051U_UP_50	nerka
1992_mG002U_UP_78	mykiss
1987_mG002U_UP_41	chin
2000_mG002U_UP_212	nondom
2000_mG003U_UP_211	nondom
1989_mG035U_UP_58	chin
1989_mG053U_UP_61	chin
1993_mG019U_UP_84	nerka
2010_mG050U_UP_653	nerka
2013_mG274U_UP_1093	nerka
2013_mG274U_UP_1094	nerka
2006_mG197U_UP_506	nerka
1997_mG003U_UP_139	nondom
2011_mG050U_UP_903	mykiss
1999_mG002U_UP_175	nerka
1999_mG002U_UP_176	nerka
1999_mG002U_UP_177	nerka
2004_mG002U_UP_366	mykiss
1982_mG003U_UP_18	mykiss
2000_mG002U_UP_203	nerka
2000_mG002U_UP_204	nerka
2000_mG002U_UP_206	nerka
2000_mG002U_UP_213	nerka
2011_mG249U_UP_905	nondom
2009_mG050U_UP_628	nondom
2009_mG179U_UP_629	nondom
1973_mG018U_UP_2	chin
2004_mG002U_UP_364	nondom
1996_mG003U_UP_117	nerka
1996_mG027U_UP_126	nerka
1996_mG003U_UP_118	nerka
1996_mG027U_UP_116	nerka
1996_mG017U_UP_133	nerka
1994_mG002U_UP_102	nerka
1994_mG002U_UP_86	nerka
1994_mG002U_UP_88	nerka
1994_mG002U_UP_91	nerka
1994_mG043U_UP_87	nerka
2003_mG002U_UP_297	nerka
2003_mG095U_UP_304	nerka
2003_mG184U_UP_298	nerka
2003_mG282U_UP_299	nerka
2001_mG127U_UP_228	nerka
1980_mG035U_UP_13	nerka
2011_mG002U_UP_820	mykiss
2011_mG050U_UP_822	mykiss
1992_mG019U_UP_81	nerka
2013_mG277U_UP_1106	nerka
2013_mG265U_UP_1200	nerka
2013_mG265U_UP_1098	nerka
2013_mG271U_UP_1110	nerka
2013_mG050U_UP_1103	nerka
1977_mG003U_UP_12	mykiss
2010_mG050U_UP_730	nerka
2010_mG050U_UP_634	nerka
2010_mG050U_UP_656	nerka
2010_mG050U_UP_654	nerka
2010_mG002U_UP_729	nerka
1982_mG003U_UP_20	mykiss
1988_mG003U_UP_51	mykiss
2012_mG002U_UP_1046	mykiss
2012_mG050U_UP_1047	mykiss
2012_mG050U_UP_1079	mykiss
2011_mG050U_UP_748	nerka
2011_mG050U_UP_754	nerka
2011_mG050U_UP_901	nerka
2011_mG050U_UP_782	nerka
2011_mG050U_UP_899	nerka
2002_mG281U_UP_249	nerka
2007_mG284U_UP_518	nerka
1989_mG053U_UP_62	nondom
1984_mG002U_UP_24	nerka
1981_mG028U_UP_16	chin
1982_mG030U_UP_19	chin
1998_mG002U_UP_149	nerka
1998_mG025U_UP_148	nerka
2009_mG050U_UP_576	nerka
2009_mG184U_UP_567	nerka
2004_mG040U_UP_360	nerka
1971_mG018U_UP_1	mykiss
2002_mG002U_UP_265	nondom
2012_mG271UHH_UP_923	nerka
2012_mG271U_UP_924	nerka
1984_mG003U_UP_22	nerka
1984_mG028U_UP_25	nerka
1990_mG002U_UP_67	nondom
1990_mG019U_UP_65	nondom
1990_mG019U_UP_66	nondom
1990_mG026U_UP_64	nondom
1990_mG028U_UP_69	nondom
1996_mG025U_UP_120	nondom
1997_mG023U_UP_135	nerka
1997_mG055U_UP_134	nerka
